code,ISO,en_name,ru_name,full_name,data_0,data_1,data_2,data_3,data_4
1,RU-AD,Adygea,Адыгея,Республика Адыгея,22,0,0,0,28.92428193
2,RU-BA,Bashkortostan,Башкортостан,Республика Башкортостан,42,2.142147021,2.142147021,3.748757287,0
3,RU-BU,Buryatia,Республика Бурятия,Республика Бурятия,1,7.997927789,0,17.49124484,0
4,RU-AL,Altai Republic,Республика Алтай,Республика Алтай,8,0,0,0,0
5,RU-DA,Dagestan,Дагестан,Республика Дагестан,1,0,0,0,0
6,RU-IN,Ingushetia,Ингушетия,Республика Ингушетия,23,0,0,0,0
7,RU-KB,Kabardino-Balkaria,Кабардино-Балкария,Кабардино-Балкарская Республика,52,0,0,0,0
8,RU-KL,Kalmykia,Калмыкия,Республика Калмыкия,16,0,0,0,0
9,RU-KC,Karachay-Cherkessia,Карачаево-Черкесия,Карачаево-Черкесская Республика,29,0,0,0,0
10,RU-KR,Republic of Karelia,Республика Карелия,Республика Карелия,24,0,0,0,0
11,RU-KO,Komi Republic,Республика Коми,Республика Коми,31,0,0,0,0
12,RU-ME,Mari El,Марий Эл,Республика Марий Эл,31,0,35.7461282,14.01481486,0
13,RU-MO,Republic of Mordovia,Мордовия,Республика Мордовия,39,0,0,0,0
14,RU-SA,Sakha Republic,Якутия,Республика Саха (Якутия),56,0,0,0,0
15,RU-SE,North Ossetia–Alania,Северная Осетия,Республика Северная Осетия - Алания,35,0,0,0,0
16,RU-TA,Tatarstan,Татарстан,Республика Татарстан,86,0,0,4.649930273,0
17,RU-TY,Tuva,Республика Тыва,Республика Тыва,21,0,0,0,0
18,RU-UD,Udmurtia,Удмуртия,Удмуртская Республика,23,0,0,0,0
19,RU-KK,Khakassia,Республика Хакасия,Республика Хакасия,23,8.793395968,0,35.11475553,0
20,RU-CE,Chechnya,Чечня,Чеченская Республика,71,0,0,100,0
21,RU-CU,Chuvashia,Чувашия,Чувашская Республика,63,45.64422756,0,0,0
22,RU-ALT,Altai Krai,Алтайский край,Алтайский край,72,67.43193273,0,0,0
23,RU-KDA,Krasnodar Krai,Краснодарский край,Краснодарский край,92,0,0,2.029569502,1.424611467
24,RU-KYA,Krasnoyarsk Krai,Красноярский край,Красноярский край,51,0,18.07123636,42.92190847,0
25,RU-PRI,Primorsky Krai,Приморский край,Приморский край,3,0,53.63128492,53.63128492,46.36871508
26,RU-STA,Stavropol Krai,Ставропольский край,Ставропольский край,66,0,0,5.036895258,0
27,RU-KHA,Khabarovsk Krai,Хабаровский край,Хабаровский край,70,97.91707618,100,89.66558894,74.64544656
28,RU-AMU,Amur Oblast,Амурская область,Амурская область,50,0,0,0,0
29,RU-ARK,Arkhangelsk Oblast,Архангельская область,Архангельская область,65,0,0,0,0
30,RU-AST,Astrakhan Oblast,Астраханская область,Астраханская область,58,7.313768946,7.313768946,0,7.313768946
31,RU-BEL,Belgorod Oblast,Белгородская область,Белгородская область,84,6.765985885,0,0,0
32,RU-BRY,Bryansk Oblast,Брянская область,Брянская область,54,19.99264205,14.41292229,0,14.41292229
33,RU-VLA,Vladimir Oblast,Владимирская область,Владимирская область,45,0,0,45.21937096,43.24302178
34,RU-VGG,Volgograd Oblast,Волгоградская область,Волгоградская область,54,0,0,0,0
35,RU-VLG,Vologda Oblast,Вологодская область,Вологодская область,52,8.1189283,0,30.38287698,35.38832149
36,RU-VOR,Voronezh Oblast,Воронежская область,Воронежская область,29,10.73333174,15.1211771,33.05957158,23.86093897
37,RU-IVA,Ivanovo Oblast,Ивановская область,Ивановская область,14,0,0,0,0
38,RU-IRK,Irkutsk Oblast,Иркутская область,Иркутская область,1,0,0,24.20736537,7.875020898
39,RU-KGD,Kaliningrad,Калининградская область,Калининградская область,24,0,0,0,0
40,RU-KLU,Kaluga Oblast,Калужская область,Калужская область,39,0,0,0,0
41,RU-KAM,Kamchatka Krai,Камчатский край,Камчатский край,19,100,0,0,0
42,RU-KEM,Kemerovo Oblast,Кемеровская область,Кемеровская область,20,0,0,0.937668359,0
43,RU-KIR,Kirov Oblast,Кировская область,Кировская область,69,1.498508533,0,0,0
44,RU-KOS,Kostroma Oblast,Костромская область,Костромская область,17,0,0,0,0
45,RU-KGN,Kurgan Oblast,Курганская область,Курганская область,17,0,0,100,0
46,RU-KRS,Kursk Oblast,Курская область,Курская область,56,2.68439741,0,0,0
47,RU-LEN,Leningrad oblast,Ленинградская область,Ленинградская область,22,11.52214412,11.52214412,11.52214412,11.52214412
48,RU-LIP,Lipetsk Oblast,Липецкая область,Липецкая область,57,0,0,0,0
49,RU-MAG,Magadan Oblast,Магаданская область,Магаданская область,7,100,0,0,0
50,RU-MOS,Moscow Oblast,Московская область,Московская область,25,0,0,0,0
51,RU-MUR,Murmansk Oblast,Мурманская область,Мурманская область,3,0,0,0,0
52,RU-NIZ,Nizhny Novgorod Oblast,Нижегородская область,Нижегородская область,42,0,10.83379146,4.467773862,0
53,RU-NGR,Novgorod Oblast,Новгородская область,Новгородская область,7,0,0,0,0
54,RU-NVS,Novosibirsk Oblast,Новосибирская область,Новосибирская область,94,0,0,100,0
55,RU-OMS,Omsk Oblast,Омская область,Омская область,10,36.81612409,0,0,0
56,RU-ORE,Orenburg Oblast,Оренбургская область,Оренбургская область,67,0,0,0,0
57,RU-ORL,Oryol Oblast,Орловская область,Орловская область,28,0,0,0,0
58,RU-PNZ,Penza Oblast,Пензенская область,Пензенская область,50,0,0,29.84107365,0
59,RU-PER,Perm Krai,Пермский край,Пермский край,87,28.5782919,32.26949583,2.912366097,0
60,RU-PSK,Pskov Oblast,Псковская область,Псковская область,32,3.881748987,3.881748987,3.881748987,0
61,RU-ROS,Rostov Oblast,Ростовская область,Ростовская область,84,12.02859377,0,7.715658778,2.451002651
62,RU-RYA,Ryazan Oblast,Рязанская область,Рязанская область,34,0,0,0,0
63,RU-SAM,Samara Oblast,Самарская область,Самарская область,97,0,0,0,0
64,RU-SAR,Saratov Oblast,Саратовская область,Саратовская область,1,0,0,0,0
65,RU-SAK,Sakhalin Oblast,Сахалинская область,Сахалинская область,26,0,9.395315452,14.48301126,0
66,RU-SVE,Sverdlovsk Oblast,Свердловская область,Свердловская область,9,20.20496582,0,23.28522071,3.686313128
67,RU-SMO,Smolensk Oblast,Смоленская область,Смоленская область,41,0,0,0,0
68,RU-TAM,Tambov Oblast,Тамбовская область,Тамбовская область,53,0,0,0,0
69,RU-TVE,Tver Oblast,Тверская область,Тверская область,30,0,0,0,0
70,RU-TOM,Tomsk Oblast,Томская область,Томская область,2,0,0,0,0
71,RU-TUL,Tula Oblast,Тульская область,Тульская область,11,0,0,0,0
72,RU-TYU,Tyumen Oblast,Тюменская область,Тюменская область,31,3.950149001,43.17089634,43.17089634,38.16105884
73,RU-ULY,Ulyanovsk Oblast,Ульяновская область,Ульяновская область,71,0,0,0,0
74,RU-CHE,Chelyabinsk Oblast,Челябинская область,Челябинская область,83,7.641939473,0,20.58599372,0
75,RU-ZAB,Zabaykalsky Krai,Забайкальский край,Забайкальский край,27,0,0,0,0
76,RU-YAR,Yaroslavl Oblast,Ярославская область,Ярославская область,57,0,0,0,0
77,RU-MOW,Moscow,Москва,город федерального значения Москва,98,0,0,100,0
78,RU-SPE,Saint Petersburg,Санкт-Петербург,город федерального значения Санкт-Петербург,11,29.35437984,41.20649567,70.13208106,30.2815915
79,RU-YEV,Jewish Autonomous Oblast,Еврейская АО,Еврейская автономная область,9,0,0,0,0
82,RU-CR,Crimea,Крым,Республика Крым,73,0,0,0,0
83,RU-NEN,Nenets Autonomous Okrug,Ненецкий АО,Ненецкий автономный округ,2,0,0,0,0
86,RU-KHM,Khanty-Mansiysk Autonomous Okrug – Ugra,Ханты-Мансийский АО,Ханты-Мансийский автономный округ - Югра,14,0,0,0,0
87,RU-CHU,Chukotka Autonomous Okrug,Чукотский АО,Чукотский автономный округ,2,0,0,0,0
89,RU-YAN,Yamalo-Nenets Autonomous Okrug,Ямало-Ненецкий АО,Ямало-Ненецкий автономный округ,16,31.88585919,9.488543269,40.08263745,0
92,RU-SEV,Sevastopol,Севастополь,город федерального значения Севастополь,7,0,0,0,0